Datetime,Daymet-tmax:degC,Daymet-tmin:degC,Daymet-srad:W/m2,Daymet-vp:Pa,Daymet-swe:kg/m2,Daymet-prcp:mm,Daymet-dayl:s
1980-09-05,32.81,23.19,372.97,2841.58,0,0,44623.1
1980-09-06,32.64,22.65,384.21,2748.86,0,0,44526.2
1980-09-07,32.72,21.72,411.08,2598.24,0,0,44428.9
1980-09-08,32.77,22.03,402.76,2647.87,0,0,44331.5
1980-09-09,32.13,21.77,394.98,2606.05,0,0,44233.8
1980-09-10,30.82,21.48,278.14,2560.47,0,3.9,44136
1980-09-11,31.52,19.98,428.37,2333.73,0,0,44038
1980-09-12,31.64,19.83,429.98,2313.16,0,0,43939.8
1980-09-13,31.97,20.52,417.44,2413.44,0,0,43841.5
1980-09-14,31.56,20.97,296.22,2480.57,0,4.67,43743
1980-09-15,31.45,21.64,278.57,2584.86,0,11.97,43644.5
1980-09-16,32.46,21.43,299.74,2552.21,0,4.51,43545.9
1980-09-17,33.53,22.14,400.86,2665.32,0,0,43447.2
1980-09-18,33.21,22.12,392.97,2662.31,0,0,43348.5
1980-09-19,32.74,21.49,398.84,2560.98,0,0,43249.7
1980-09-20,32.85,22.83,363.01,2779.41,0,0,43150.9
1980-09-21,32.86,23.19,353.75,2840.77,0,0,43052.2
1980-09-22,33.12,22.71,372.63,2758.81,0,0,42953.4
1980-09-23,32.13,22.31,360.39,2692.74,0,0,42854.8
1980-09-24,32.6,21.86,286.67,2620.86,0,9.62,42756.1
1980-09-25,33.23,22.08,291.24,2654.97,0,12.9,42657.6
1980-09-26,33.48,21.98,394.11,2640.32,0,0,42559.2
1980-09-27,33.59,21.71,400.94,2597.13,0,0,42460.8
1980-09-28,32.98,21.88,384.01,2623.23,0,0,42362.7
1980-09-29,34,22.01,396.13,2645.13,0,0,42264.6
1980-09-30,33.93,22.02,392.73,2645.36,0,0,42166.8
1980-10-01,33.29,21.21,396.84,2517.55,0,0,42069.1
1980-10-02,32.47,21.91,271.87,2627.86,0,4.21,41971.7
1980-10-03,26.83,21.28,166.68,2529.61,0,7.25,41874.5
1980-10-04,29.66,19.03,377.27,2200.74,0,0,41777.5
1980-10-05,30.12,18.56,394.76,2137.12,0,0,41680.8
1980-10-06,30.38,17.88,410.7,2047.99,0,0,41584.4
1980-10-07,29.3,18.84,366.72,2173.94,0,0,41488.4
1980-10-08,29.66,19.65,351.61,2287.51,0,0,41392.6
1980-10-09,30.02,20.22,342.77,2368.83,0,0,41297.2
1980-10-10,29.63,20.86,235.02,2463.89,0,11.92,41202.2
1980-10-11,30.69,20.75,341.05,2447.72,0,0,41107.6
1980-10-12,31.17,16.62,431.25,1890.51,0,0,41013.4
1980-10-13,30.01,15.38,434.09,1746.25,0,0,40919.7
